episode,date,weekday,rubric,title,source,status
1,2026-06-16,Tuesday,Как думают топ-аналитики,"Вы спорите не о стратегии, а о смысле одного слова",Gottlob Frege,planned
2,2026-06-23,Tuesday,Пройди собеседование сегодня,North Star Metric: как выбрать главную метрику продукта,North Star Metric,planned
3,2026-06-30,Tuesday,Как думают топ-аналитики,Когда здравый смысл сильнее красивой стратегии,G. E. Moore,planned
4,2026-07-07,Tuesday,Пройди собеседование сегодня,AARRR: как найти слабое место роста,AARRR / Pirate Metrics,planned
5,2026-07-14,Tuesday,Как думают топ-аналитики,"Все говорят одно предложение, но внутри него три разных решения",Bertrand Russell,planned
6,2026-07-21,Tuesday,Пройди собеседование сегодня,"Activation Rate: как доказать, что пользователь получил ценность",Activation Rate,planned
7,2026-07-28,Tuesday,Как думают топ-аналитики,"Команда использует одно слово, но играет в разные игры",Ludwig Wittgenstein,planned
8,2026-08-04,Tuesday,Пройди собеседование сегодня,Conversion Rate: как не ошибиться в знаменателе,Conversion Rate,planned
9,2026-08-11,Tuesday,Как думают топ-аналитики,"Вы спорите о решении, хотя не договорились о правилах языка",Rudolf Carnap,planned
10,2026-08-18,Tuesday,Пройди собеседование сегодня,Funnel Drop-off: где воронка теряет деньги,Funnel Drop-off Rate,planned
11,2026-08-25,Tuesday,Как думают топ-аналитики,"Встреча закончилась выводом, который никто не может проверить",A. J. Ayer,planned
12,2026-09-01,Tuesday,Пройди собеседование сегодня,Retention Rate: нужен ли продукт после первого интереса,Retention Rate,planned
13,2026-09-08,Tuesday,Как думают топ-аналитики,"Вы наняли процесс, а ждете от него результата",Gilbert Ryle,planned
14,2026-09-15,Tuesday,Пройди собеседование сегодня,Cohort Analysis: почему среднее значение обманывает,Cohort Analysis,planned
15,2026-09-22,Tuesday,Как думают топ-аналитики,Одна фраза руководителя уже изменила поведение команды,J. L. Austin,planned
16,2026-09-29,Tuesday,Пройди собеседование сегодня,Churn Rate: как считать потери пользователей и выручки,Churn Rate,planned
17,2026-10-06,Tuesday,Как думают топ-аналитики,"Данные выглядят точными, пока вы не спросили: в какой ситуации?",P. F. Strawson,planned
18,2026-10-13,Tuesday,Пройди собеседование сегодня,"DAU, WAU, MAU: как измерить живую аудиторию",Active Users,planned
19,2026-10-20,Tuesday,Как думают топ-аналитики,"Человек сказал все правильно, но команда поняла другое",H. P. Grice,planned
20,2026-10-27,Tuesday,Пройди собеседование сегодня,Stickiness: когда продукт становится привычкой,DAU/MAU,planned
21,2026-11-03,Tuesday,Как думают топ-аналитики,Одна плохая гипотеза держит на себе весь план продаж,W. V. O. Quine,planned
22,2026-11-10,Tuesday,Пройди собеседование сегодня,"Feature Adoption: как понять, нужна ли функция",Feature Adoption Rate,planned
23,2026-11-17,Tuesday,Как думают топ-аналитики,"Факт есть в таблице, но решения из него все равно нет",Wilfrid Sellars,planned
24,2026-11-24,Tuesday,Пройди собеседование сегодня,CAC: сколько стоит новый клиент,Customer Acquisition Cost,planned
